x filter(x) xRef y_RA_100 y_RA_256
83.791681 3.868948 84.601159 59.561980 32.881231
83.999674 3.941948 84.594989 59.803937 33.080912
84.149847 4.015889 84.588773 60.044986 33.280400
84.241316 4.090770 84.582512 60.284554 33.479466
84.274713 4.166609 84.576206 60.522080 33.677885
84.252164 4.243413 84.569854 60.757031 33.875441
84.177232 4.321202 84.563458 60.988914 34.071932
84.054831 4.399986 84.557016 61.217290 34.267178
83.891097 4.479779 84.550530 61.441783 34.461022
83.693235 4.560603 84.543998 61.662094 34.653335
83.469342 4.642473 84.537422 61.878008 34.844022
83.228198 4.725404 84.530801 62.089396 35.033023
82.979050 4.809423 84.524135 62.296224 35.220312
82.731383 4.894541 84.517425 62.498552 35.405902
82.494678 4.980782 84.510670 62.696534 35.589843
82.278178 5.068155 84.503870 62.890411 35.772219
82.090657 5.156682 84.497026 63.080513 35.953151
81.940199 5.246378 84.490138 63.267242 36.132787
81.833997 5.337261 84.483205 63.451072 36.311308
81.778170 5.429344 84.476228 63.632528 36.488913
81.777613 5.522632 84.469207 63.812182 36.665822
81.835867 5.617140 84.462142 63.990635 36.842267
81.955033 5.712875 84.455033 64.168500 37.018489
82.135712 5.809853 84.447879 64.346393 37.194728
82.376994 5.908064 84.440682 64.524914 37.371221
82.676467 6.007522 84.433441 64.704632 37.548195
83.030280 6.108223 84.426157 64.886074 37.725859
83.433234 6.210181 84.418828 65.069710 37.904404
83.878900 6.313381 84.411456 65.255939 38.083992
84.359781 6.417832 84.404041 65.445086 38.264756
84.867489 6.523526 84.396582 65.637387 38.446798
85.392949 6.630454 84.389079 65.832987 38.630182
85.926618 6.738624 84.381533 66.031934 38.814934
86.458720 6.848029 84.373944 66.234179 39.001042
86.979478 6.958666 84.366312 66.439578 39.188458
87.479353 7.070534 84.358637 66.647893 39.377094
87.949278 7.183630 84.350919 66.858797 39.566829
88.380877 7.297941 84.343158 67.071887 39.757509
88.766664 7.413495 84.335354 67.286687 39.948951
89.100230 7.530254 84.327507 67.502663 40.140948
89.376392 7.648261 84.319617 67.719234 40.333274
89.591323 7.767483 84.311685 67.935790 40.525688
89.742636 7.887943 84.303710 68.151699 40.717942
89.829449 8.009655 84.295693 68.366330 40.909784
89.852395 8.132622 84.287633 68.579064 41.100966
89.813607 8.256850 84.279531 68.789307 41.291250
89.716665 8.382338 84.271387 68.996508 41.480412
89.566502 8.509113 84.263201 69.200171 41.668248
89.369279 8.637198 84.254972 69.399866 41.854580
89.132234 8.766593 84.246702 69.595236 42.039258
88.863498 8.897316 84.238390 69.786010 42.222166
88.571897 9.029391 84.230036 69.972009 42.403219
88.266725 9.162811 84.221640 70.153145 42.582374
87.957519 9.297611 84.213202 70.329426 42.759620
87.653820 9.433781 84.204723 70.500955 42.934988
87.364936 9.571385 84.196202 70.667925 43.108543
87.099710 9.710380 84.187640 70.830616 43.280383
86.866302 9.850825 84.179037 70.989385 43.450641
86.671985 9.992680 84.170392 71.144658 43.619474
86.522963 10.136025 84.161706 71.296919 43.787066
86.424221 10.280803 84.152979 71.446694 43.953617
86.379395 10.427058 84.144212 71.594542 44.119343
86.390685 10.574802 84.135403 71.741039 44.284465
86.458801 10.724008 84.126553 71.886759 44.449209
86.582938 10.874679 84.117663 72.032266 44.613794
86.760800 11.026851 84.108732 72.178093 44.778430
86.988654 11.180483 84.099761 72.324732 44.943314
87.261423 11.335576 84.090749 72.472620 45.108619
87.572807 11.492186 84.081696 72.622127 45.274495
87.915437 11.650212 84.072604 72.773546 45.441061
88.281062 11.809717 84.063471 72.927086 45.608405
88.660745 11.970684 84.054298 73.082865 45.776578
89.045085 12.133067 84.045085 73.240906 45.945596
89.424451 12.296906 84.035832 73.401140 46.115435
89.789216 12.462172 84.026539 73.563398 46.286036
90.129993 12.628875 84.017207 73.727423 46.457301
90.437872 12.796990 84.007835 73.892873 46.629100
90.704632 12.966517 83.998423 74.059326 46.801270
90.922951 13.137436 83.988972 74.226293 46.973621
91.086582 13.309784 83.979482 74.393227 47.145937
91.190509 13.483542 83.969952 74.559536 47.317986
91.231072 13.658672 83.960383 74.724601 47.489521
91.206058 13.835217 83.950775 74.887784 47.660289
91.114753 14.013203 83.941128 75.048447 47.830033
90.957966 14.192533 83.931442 75.205967 47.998502
90.738007 14.373336 83.921717 75.359749 48.165453
90.458632 14.555533 83.911954 75.509243 48.330661
90.124952 14.739143 83.902152 75.653953 48.493920
89.743308 14.924240 83.892312 75.793452 48.655050
89.321119 15.110713 83.882433 75.927389 48.813902
88.866697 15.298688 83.872515 76.055501 48.970358
88.389049 15.488132 83.862560 76.177615 49.124337
87.897651 15.679065 83.852566 76.293655 49.275796
87.402223 15.871454 83.842535 76.403641 49.424727
86.912489 16.065381 83.832465 76.507689 49.571163
86.437937 16.260790 83.822358 76.606008 49.715174
85.987593 16.457716 83.812213 76.698895 49.856863
85.569797 16.656209 83.802030 76.786726 49.996367
85.192003 16.856206 83.791810 76.869947 50.133850
84.860595 17.057705 83.781552 76.949062 50.269501
84.580736 17.260804 83.771257 77.024623 50.403530
84.356239 17.465428 83.760925 77.097213 50.536157
84.189482 17.671548 83.750555 77.167434 50.667616
84.081345 17.879281 83.740149 77.235888 50.798138
84.031198 18.088550 83.729706 77.303169 50.927955
84.036916 18.299311 83.719226 77.369840 51.057287
84.094935 18.511616 83.708709 77.436425 51.186340
84.200341 18.725473 83.698155 77.503394 51.315301
84.346999 18.940752 83.687566 77.571153 51.444331
84.527703 19.157694 83.676939 77.640029 51.573563
84.734357 19.375978 83.666277 77.710270 51.703097
84.958181 19.595743 83.655578 77.782032 51.833000
85.189928 19.817070 83.644843 77.855377 51.963300
85.420114 20.039780 83.634072 77.930276 52.093991
85.639258 20.263941 83.623266 78.006602 52.225027
85.838116 20.489574 83.612423 78.084142 52.356328
86.007915 20.716570 83.601545 78.162595 52.487780
86.140571 20.944956 83.590631 78.241585 52.619236
86.228891 21.174791 83.579682 78.320667 52.750524
86.266756 21.406023 83.568698 78.399341 52.881447
86.249272 21.638590 83.557678 78.477063 53.011790
86.172898 21.872541 83.546624 78.553260 53.141325
