Freq Amp Phase Re(H) Im(H) GroupDelay PhaseDelay 20Log10(Amp)
4.800000e+001 1.152038e-003 -2.387944e+000 -8.400624e-004 -7.883438e-004 1.849904e-002 -7.917773e-003 -5.877067e+001
4.900000e+001 1.204358e-003 -2.405509e+000 -8.925537e-004 -8.085944e-004 1.756491e-002 -7.813238e-003 -5.838489e+001
5.000000e+001 1.244252e-003 -2.422223e+000 -9.359526e-004 -8.198515e-004 1.671362e-002 -7.710174e-003 -5.810183e+001
5.100000e+001 1.273211e-003 -2.438155e+000 -9.709802e-004 -8.235681e-004 1.593227e-002 -7.608714e-003 -5.790199e+001
5.200000e+001 1.292577e-003 -2.453356e+000 -9.983435e-004 -8.210145e-004 1.520068e-002 -7.508917e-003 -5.777087e+001
5.300000e+001 1.303580e-003 -2.467875e+000 -1.018757e-003 -8.132978e-004 1.451930e-002 -7.410839e-003 -5.769725e+001
5.400000e+001 1.307286e-003 -2.481765e+000 -1.032884e-003 -8.013404e-004 1.389053e-002 -7.314541e-003 -5.767259e+001
5.500000e+001 1.304676e-003 -2.495063e+000 -1.041365e-003 -7.859633e-004 1.329743e-002 -7.220029e-003 -5.768995e+001
5.600000e+001 1.296602e-003 -2.507813e+000 -1.044795e-003 -7.678413e-004 1.274975e-002 -7.127335e-003 -5.774386e+001
5.700000e+001 1.283831e-003 -2.520043e+000 -1.043726e-003 -7.475692e-004 1.223069e-002 -7.036445e-003 -5.782984e+001
5.800000e+001 1.267027e-003 -2.531790e+000 -1.038659e-003 -7.256337e-004 1.174670e-002 -6.947360e-003 -5.794428e+001
5.900000e+001 1.246781e-003 -2.543082e+000 -1.030060e-003 -7.024518e-004 1.129219e-002 -6.860069e-003 -5.808420e+001
6.000000e+001 1.223619e-003 -2.553947e+000 -1.018355e-003 -6.783779e-004 1.086503e-002 -6.774555e-003 -5.824708e+001
6.100000e+001 1.197994e-003 -2.564408e+000 -1.003921e-003 -6.537060e-004 1.046050e-002 -6.690789e-003 -5.843091e+001
6.200000e+001 1.170316e-003 -2.574489e+000 -9.871152e-004 -6.286839e-004 1.008118e-002 -6.608752e-003 -5.863394e+001
6.300000e+001 1.140928e-003 -2.584211e+000 -9.682410e-004 -6.035120e-004 9.722428e-003 -6.528413e-003 -5.885483e+001
6.400000e+001 1.110145e-003 -2.593593e+000 -9.475847e-004 -5.783645e-004 9.381619e-003 -6.449736e-003 -5.909240e+001
6.500000e+001 1.078239e-003 -2.602653e+000 -9.254021e-004 -5.533799e-004 9.060543e-003 -6.372695e-003 -5.934570e+001
6.600000e+001 1.045442e-003 -2.611408e+000 -9.019170e-004 -5.286721e-004 8.754668e-003 -6.297250e-003 -5.961400e+001
6.700000e+001 1.011962e-003 -2.619875e+000 -8.773353e-004 -5.043320e-004 8.466656e-003 -6.223373e-003 -5.989671e+001
6.800000e+001 9.779802e-004 -2.628067e+000 -8.518382e-004 -4.804341e-004 8.192083e-003 -6.151027e-003 -6.019340e+001
